ELO_name,Opta_name,Country,Level,Elo,Rating,predicted_Elo,error
Hibernian,Hibernian,SCO,1.0,1400.31,73.9,1426.98,-27.0
Sigma Olomouc,Sigma Olomouc,CZE,1.0,1399.61,73.8,1424.58,-25.0
Sandefjord,Sandefjord,NOR,1.0,1397.39,72.4,1390.96,6.0
Muenster,Preussen Münster,GER,2.0,1396.4,72.7,1398.16,-2.0
Sarpsborg,Sarpsborg 08,NOR,1.0,1394.81,73.0,1405.37,-11.0
Ik Sirius,Sirius,SWE,1.0,1393.93,74.0,1429.38,-35.0
Rizespor,Rizespor,TUR,1.0,1392.58,73.1,1407.77,-15.0
Lask,Lask,AUT,1.0,1391.63,73.3,1412.57,-21.0
Kfum Oslo,Kfum,NOR,1.0,1391.58,72.4,1390.96,1.0
Bastia,Bastia,FRA,2.0,1391.17,69.5,1321.32,70.0
Rijeka,Rijeka,CRO,1.0,1390.83,76.6,1491.82,-101.0
Alverca,Alverca,POR,1.0,1389.55,72.7,1398.16,-9.0
Zulte Waregem,Zulte Waregem,BEL,1.0,1388.1,75.9,1475.01,-87.0
Puskas Akademia,Puskás,HUN,1.0,1388.06,74.3,1436.59,-49.0
Piast Gliwice,Piast Gliwice,POL,1.0,1386.62,73.5,1417.38,-31.0
Lugano,Lugano,SUI,1.0,1386.11,74.6,1443.79,-58.0
Nancy,Nancy,FRA,2.0,1385.53,69.7,1326.12,59.0
Padova,Padova,ITA,2.0,1385.03,71.7,1374.15,11.0
Radomiak,Radomiak Radom,POL,1.0,1384.61,74.3,1436.59,-52.0
Lubin,Zagłębie Lubin,POL,1.0,1383.36,74.0,1429.38,-46.0
Fuerth,Greuther Fürth,GER,2.0,1379.39,71.1,1359.74,20.0
Katowice,Gks Katowice,POL,1.0,1378.4,74.6,1443.79,-65.0
Gyoer,Győri Eto,HUN,1.0,1375.36,75.1,1455.8,-80.0
Plock,Wisła Płock,POL,1.0,1374.48,75.3,1460.6,-86.0
Bielefeld,Arminia Bielefeld,GER,2.0,1373.97,73.6,1419.78,-46.0
Zuerich,Zürich,SUI,1.0,1373.24,72.2,1386.16,-13.0
Estrela Amadora,Estrela,POR,1.0,1371.94,71.1,1359.74,12.0
Levadeiakos,Levadiakos,GRE,1.0,1369.58,73.0,1405.37,-36.0
Avellino,Avellino,ITA,2.0,1368.72,71.2,1362.14,7.0
Tondela,Tondela,POR,1.0,1367.96,71.9,1378.95,-11.0
Thun,Thun,SUI,1.0,1367.89,74.9,1451.0,-83.0
Sion,Sion,SUI,1.0,1367.79,72.8,1400.56,-33.0
Ham-Kam,Hamkam,NOR,1.0,1365.26,72.4,1390.96,-26.0
Cfr Cluj,Cfr Cluj,ROM,1.0,1363.87,72.7,1398.16,-34.0
Pescara,Pescara,ITA,2.0,1362.1,69.3,1316.51,46.0
Widzew,Widzew Łódź,POL,1.0,1361.46,73.0,1405.37,-44.0
Eyupspor,Eyüpspor,TUR,1.0,1361.32,71.1,1359.74,2.0
Kayseri,Kayserispor,TUR,1.0,1360.98,71.3,1364.54,-4.0
Bohemians Praha,Bohemians 1905,CZE,1.0,1359.46,70.5,1345.33,14.0
Hartberg,Hartberg,AUT,1.0,1359.21,72.8,1400.56,-41.0
Braunschweig,Eintracht Braunschweig,GER,2.0,1358.8,70.5,1345.33,13.0
Raal,Raal La Louvière,BEL,1.0,1358.51,74.9,1451.0,-92.0
Valerenga,Vålerenga,NOR,1.0,1358.5,73.1,1407.77,-49.0
Odense,Ob,DEN,1.0,1358.47,72.5,1393.36,-35.0
Entella,Virtus Entella,ITA,2.0,1355.11,70.8,1352.54,3.0
Motor Lublin,Motor Lublin,POL,1.0,1354.84,73.3,1412.57,-58.0
Dender,Dender,BEL,1.0,1354.54,71.3,1364.54,-10.0
Mantova,Mantova,ITA,2.0,1353.82,68.8,1304.51,49.0
Boulogne,Boulogne,FRA,2.0,1352.97,67.8,1280.49,72.0
Karvina,Karviná,CZE,1.0,1352.86,71.8,1376.55,-24.0
Lechia,Lechia Gdańsk,POL,1.0,1352.45,72.7,1398.16,-46.0
Heracles,Heracles,NED,1.0,1350.73,70.4,1342.93,8.0
Istra 1961,Istra 1961,CRO,1.0,1349.55,74.4,1438.99,-89.0
Botosani,Botoșani,ROM,1.0,1349.36,73.2,1410.17,-61.0
Volendam,Volendam,NED,1.0,1349.26,69.2,1314.11,35.0
Atromitos,Atromitos,GRE,1.0,1347.09,70.3,1340.53,7.0
Kocaelispor,Kocaelispor,TUR,1.0,1347.08,71.9,1378.95,-32.0
Breda,Nac Breda,NED,1.0,1346.57,68.7,1302.1,44.0
